InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
100083,S0065,Product 2591,13,2019-01-28,46.42,41291,Netherlands
100084,S2569,Product 2175,14,2020-09-11,3.81,12674,France
100085,S2028,Product 1798,6,2020-01-19,19.05,13464,Netherlands
100086,S2696,Product 1881,16,2020-06-17,46.87,49833,United Kingdom
100087,S1496,Product 3057,10,2019-12-04,11.25,24697,France
100088,S0392,Product 2258,11,2020-01-08,40.75,13394,United Kingdom
100089,S4515,Product 2198,1,2019-03-10,0.58,19486,Netherlands
100090,S4475,Product 31,15,2019-09-10,1.78,40475,France
100091,S3562,Product 612,16,2020-06-06,16.72,35106,Netherlands
100092,S2279,Product 4398,10,2019-08-04,38.54,18717,Germany
100093,S3100,Product 3011,10,2020-03-18,5.66,35742,United Kingdom
100094,S0201,Product 2913,3,2019-06-22,19.45,21530,Germany
100095,S4876,Product 3803,11,2020-06-11,7.01,28494,United Kingdom
100096,S3105,Product 2813,11,2020-09-27,11.57,33338,United Kingdom
100097,S4599,Product 683,16,2020-11-24,25.4,38866,France
100098,S2455,Product 257,6,2019-06-12,16.3,12730,Australia
100099,S3646,Product 940,9,2020-10-13,10.99,36240,Germany
100100,S0805,Product 2895,1,2019-07-10,19.98,55050,Netherlands
100101,S2732,Product 3186,6,2020-05-30,35.2,48019,France
100102,S2774,Product 777,18,2020-07-01,6.41,51812,Australia
100103,S1571,Product 2733,13,2019-12-04,24.24,15971,United Kingdom
100104,S2691,Product 732,2,2020-05-03,14.1,38881,Netherlands
100105,S3841,Product 2043,19,2019-12-15,19.24,59376,United Kingdom
100106,S1029,Product 970,2,2019-07-21,41.17,30020,United Kingdom
100107,S0503,Product 103,4,2019-09-23,46.52,10418,Netherlands
100108,S4494,Product 1084,4,2020-11-23,12.53,10408,Spain
100109,S0871,Product 4863,10,2020-06-03,31.68,57281,Netherlands
100110,S4489,Product 3071,17,2020-09-23,34.0,34076,France
100111,S0207,Product 3749,16,2019-11-11,42.2,16434,Netherlands
100112,S1485,Product 372,8,2019-09-13,45.0,54504,France
100113,S0864,Product 679,6,2019-08-29,23.67,21190,Germany
100114,S2791,Product 202,2,2020-02-07,49.14,36769,Netherlands
100115,S0564,Product 89,15,2020-11-14,48.56,52013,Australia
100116,S4192,Product 1997,11,2020-08-21,25.57,21885,Germany
100117,S1758,Product 4495,16,2019-08-27,27.33,43821,Netherlands
100118,S1679,Product 188,4,2019-09-15,33.55,48073,Australia
100119,S3243,Product 4748,11,2019-07-07,19.0,35177,France
100120,S4637,Product 1555,14,2019-01-15,33.27,35952,Australia
100121,S1060,Product 4683,8,2019-04-09,25.96,52055,Australia
100122,S1723,Product 230,6,2020-01-03,2.25,31515,Germany
100123,S3315,Product 3553,19,2019-05-03,42.71,38039,Spain
100124,S3158,Product 55,4,2020-01-19,47.05,24413,Netherlands
100125,S2626,Product 4367,4,2019-09-20,1.8,27681,France
100126,S2730,Product 4032,6,2019-07-08,39.57,11127,France
100127,S1598,Product 1124,11,2019-10-18,19.6,30032,United Kingdom
100128,S3061,Product 3141,1,2020-08-03,29.49,34276,France
100129,S2694,Product 3371,2,2019-06-26,25.25,35303,France
100130,S4892,Product 1553,9,2019-01-02,27.79,34441,Netherlands
100131,S3628,Product 116,16,2019-06-11,25.01,50235,Germany
100132,S1364,Product 3614,6,2020-05-06,42.74,58035,Australia
100133,S1982,Product 4419,9,2020-09-13,34.33,28335,Netherlands
100134,S1664,Product 2611,19,2020-12-04,20.93,28405,Netherlands
100135,S1530,Product 360,5,2020-06-30,34.58,24700,Spain
100136,S2039,Product 28,10,2020-09-01,48.27,11555,Australia
100137,S3303,Product 3838,7,2019-10-27,4.48,37425,Spain
100138,S2238,Product 3534,2,2019-08-22,19.71,34054,Netherlands
100139,S1307,Product 1419,4,2019-05-15,43.59,35953,Spain
100140,S4030,Product 4040,8,2019-10-22,37.08,46024,United Kingdom
100141,S2676,Product 2917,3,2019-12-07,46.78,44167,France
100142,S1283,Product 1295,2,2020-12-19,2.47,40441,Australia
100143,S0710,Product 3630,9,2020-05-19,43.21,28705,Netherlands
100144,S4745,Product 2076,11,2019-08-31,39.69,16801,Germany
100145,S4414,Product 4840,4,2019-04-08,40.84,22954,Spain
100146,S3749,Product 3678,9,2019-09-17,30.06,36523,United Kingdom
100147,S4780,Product 3154,6,2019-03-25,3.07,25456,Spain
100148,S0664,Product 1779,1,2020-06-14,27.19,43934,United Kingdom
100149,S1999,Product 4676,3,2019-05-01,20.68,42172,Australia
100150,S3446,Product 3895,7,2020-12-23,26.59,46398,United Kingdom
100151,S3744,Product 2499,9,2019-02-12,37.14,56610,Australia
100152,S1496,Product 4529,8,2019-03-05,30.0,40562,Australia
100153,S3305,Product 374,13,2019-12-03,14.98,43503,United Kingdom
100154,S3764,Product 2266,18,2020-08-22,30.18,19260,Netherlands
100155,S1854,Product 1132,19,2020-12-24,4.62,23414,France
100156,S4660,Product 1843,9,2019-09-28,0.77,31497,Netherlands
100157,S1292,Product 1574,6,2019-02-12,20.38,24587,France
100158,S3582,Product 4445,12,2019-03-15,37.98,25928,Germany
100159,S3458,Product 788,4,2020-09-30,41.22,24155,Spain
100160,S1637,Product 1546,9,2020-06-15,27.72,21894,Netherlands
100161,S3697,Product 4122,10,2020-06-18,43.47,19372,Spain
100162,S3000,Product 4955,3,2020-04-01,6.73,46321,Australia
100163,S3153,Product 370,17,2020-09-06,48.22,11173,Spain
100164,S0699,Product 4980,7,2020-07-27,46.13,38555,Australia
100165,S2161,Product 4375,8,2020-05-13,30.16,20895,Australia
100166,S4098,Product 1703,11,2020-07-27,3.41,37438,Germany
100167,S4738,Product 1658,13,2019-11-26,22.98,44299,Spain
100168,S0855,Product 1929,3,2020-03-12,9.37,38744,France
100169,S3475,Product 4056,19,2019-11-13,31.61,54826,Netherlands
100170,S1708,Product 607,14,2020-07-18,9.9,20235,Germany
100171,S2778,Product 2577,16,2020-10-04,24.35,24958,Australia
100172,S1734,Product 4125,15,2020-01-31,10.68,15218,Australia
100173,S4932,Product 323,2,2020-09-27,9.5,30874,France
100174,S3511,Product 1877,6,2020-06-15,12.77,38302,Australia
100175,S0203,Product 584,7,2020-06-20,1.95,55914,France
100176,S3256,Product 2810,9,2019-01-28,35.95,46384,Australia
100177,S4219,Product 656,9,2020-06-11,15.68,38870,Australia
100178,S4497,Product 4882,17,2019-06-17,35.06,12774,Germany
100179,S0767,Product 223,3,2020-08-05,32.85,55411,Germany
100180,S4390,Product 2123,4,2019-12-28,3.77,29477,Spain
100181,S2328,Product 2221,2,2019-07-29,15.95,36432,United Kingdom
100182,S2932,Product 3551,1,2020-01-30,28.56,35145,Australia
100183,S0198,Product 2443,10,2020-11-02,45.96,24195,France
100184,S1931,Product 4929,3,2020-05-26,20.37,21722,Australia
100185,S3583,Product 3986,10,2020-08-31,25.49,35586,France
100186,S0609,Product 167,9,2020-03-04,37.63,30107,United Kingdom
100187,S3273,Product 2017,17,2019-10-01,40.26,13515,France
100188,S1148,Product 118,15,2019-08-02,46.21,49380,Australia
100189,S4283,Product 1810,3,2020-10-07,25.11,36060,Netherlands
100190,S3398,Product 2207,3,2019-07-06,10.09,58356,Spain
100191,S2512,Product 1251,4,2020-04-14,38.34,36144,Spain
100192,S1795,Product 4007,4,2019-09-19,6.72,39297,Netherlands
100193,S0660,Product 3110,17,2020-09-05,21.21,48081,United Kingdom
100194,S2812,Product 4559,6,2019-12-16,31.6,44073,Germany
100195,S1370,Product 1672,11,2019-09-05,34.75,34236,France
100196,S1987,Product 2152,12,2020-01-09,36.78,53374,France
100197,S0147,Product 2298,7,2020-05-19,10.08,22467,Germany
100198,S3220,Product 1037,13,2019-10-13,49.09,59544,Germany
100199,S2912,Product 2615,6,2020-03-05,9.33,56332,United Kingdom
100200,S1735,Product 1880,3,2020-05-08,5.26,53982,Australia
100201,S1844,Product 597,14,2020-02-05,33.37,58376,France
100202,S0489,Product 621,14,2019-08-09,45.54,23446,Germany
100203,S2977,Product 71,10,2020-04-03,28.19,49914,France
100204,S1960,Product 1804,5,2020-01-05,29.98,19528,Australia
100205,S2386,Product 4534,2,2020-05-05,27.15,10118,Netherlands
100206,S2920,Product 1068,6,2020-08-18,2.62,42676,Australia
100207,S4737,Product 1926,11,2020-09-08,34.22,31405,Germany
100208,S1803,Product 1038,18,2020-05-24,18.23,23874,United Kingdom
100209,S4062,Product 3443,11,2019-07-31,46.82,29758,United Kingdom
100210,S3370,Product 3184,15,2019-09-21,9.75,19071,Australia
100211,S0263,Product 1403,3,2019-06-27,15.45,19198,France
100212,S0624,Product 2362,2,2019-05-25,25.49,26821,France
100213,S1017,Product 1439,7,2020-03-17,24.13,27046,Australia
100214,S3644,Product 3812,5,2020-08-30,20.32,48350,United Kingdom
100215,S4977,Product 485,13,2020-04-14,16.06,41417,France
100216,S2050,Product 4265,8,2020-06-22,7.79,48199,United Kingdom
100217,S3724,Product 4899,9,2019-02-27,41.14,17710,Spain
100218,S4549,Product 246,8,2019-04-11,22.71,20563,United Kingdom
100219,S3109,Product 4945,10,2020-11-17,28.86,10978,Australia
100220,S4091,Product 3372,2,2019-02-26,27.55,18763,Australia
100221,S2057,Product 1351,10,2019-12-12,28.99,51380,Spain
100222,S3171,Product 530,11,2020-11-01,35.39,29233,Netherlands
100223,S1683,Product 4943,11,2019-10-12,31.65,33808,Australia
100224,S2256,Product 3815,5,2019-10-07,14.06,15416,Netherlands
100225,S1155,Product 1789,14,2019-07-10,27.91,44526,Netherlands
100226,S4500,Product 1703,3,2019-11-20,12.6,42359,Germany
100227,S3192,Product 3626,2,2020-05-08,29.65,52411,United Kingdom
100228,S1697,Product 3321,18,2020-04-06,21.88,35378,Spain
100229,S3992,Product 760,1,2019-03-18,2.45,56234,Spain
100230,S4724,Product 1404,1,2020-02-11,36.83,29092,Spain
100231,S4683,Product 798,17,2019-05-09,14.1,52183,Australia
100232,S1649,Product 532,6,2019-09-07,46.05,29793,United Kingdom
100233,S1446,Product 1918,13,2019-07-10,14.39,20792,Australia
100234,S4200,Product 4960,1,2019-01-27,49.83,57075,Netherlands
100235,S3924,Product 4138,6,2020-11-11,23.42,28908,Germany
100236,S0254,Product 3417,8,2020-01-28,1.81,17601,United Kingdom
100237,S3184,Product 599,13,2019-01-27,4.28,10533,Australia
100238,S2558,Product 306,2,2019-12-12,4.56,39735,Germany
100239,S0099,Product 4905,8,2020-01-04,3.28,35729,Germany
100240,S2201,Product 2910,1,2019-12-29,13.76,48697,Germany
100241,S2962,Product 679,13,2019-02-15,16.57,17581,United Kingdom
100242,S4974,Product 3385,1,2020-03-07,6.01,18166,Netherlands
100243,S4434,Product 731,10,2020-03-01,22.19,14326,Australia
100244,S3778,Product 2026,5,2019-08-25,18.58,57340,Netherlands
100245,S2870,Product 4999,13,2020-11-29,32.0,26978,France
100246,S3235,Product 4229,5,2019-07-22,10.2,55065,Spain
100247,S3792,Product 2767,10,2020-07-27,45.74,12131,Spain
100248,S0957,Product 2099,3,2020-07-24,26.04,56526,Netherlands
100249,S4068,Product 392,2,2020-01-24,31.37,17063,Spain
100250,S0161,Product 2744,2,2019-02-01,2.46,11925,Netherlands
100251,S4494,Product 3785,5,2020-08-26,28.17,39050,Germany
100252,S1301,Product 3838,4,2020-07-31,18.72,15775,Australia
100253,S4912,Product 4604,2,2019-10-18,46.25,20741,France
100254,S3988,Product 1686,9,2020-07-22,44.34,20086,Spain
100255,S1528,Product 2915,9,2020-11-06,32.06,31095,Germany
100256,S1219,Product 1419,9,2020-10-26,38.51,54431,Spain
100257,S4497,Product 4192,4,2020-12-03,32.41,44407,France
100258,S4736,Product 4202,8,2020-07-29,1.34,24158,United Kingdom
100259,S3105,Product 4091,18,2019-08-06,35.3,22159,France
100260,S2736,Product 3727,9,2020-11-07,9.27,46199,Germany
100261,S4556,Product 4774,3,2019-03-26,34.29,27093,France
100262,S0955,Product 3630,6,2020-10-25,1.02,17136,Germany
100263,S4566,Product 3314,19,2020-12-06,15.89,49151,France
100264,S3447,Product 4952,5,2019-08-06,26.09,11987,Spain
100265,S1046,Product 4886,17,2019-07-20,16.99,48367,Australia
100266,S1694,Product 4611,19,2019-02-17,34.85,22849,France
100267,S3437,Product 1085,3,2019-09-06,26.37,57260,France
100268,S0563,Product 1008,8,2020-05-15,48.0,37577,Netherlands
100269,S2486,Product 1318,9,2019-04-10,18.21,19862,France
100270,S3355,Product 2350,8,2020-12-03,36.23,25584,Spain
100271,S0226,Product 2694,14,2020-07-22,41.87,37396,Germany
100272,S4894,Product 2279,10,2019-11-24,13.05,58889,United Kingdom
100273,S0960,Product 3723,17,2020-05-29,37.83,31455,United Kingdom
100274,S4549,Product 3694,3,2019-05-12,19.97,42292,United Kingdom
100275,S3068,Product 4393,3,2019-09-12,6.87,31066,United Kingdom
100276,S0816,Product 4551,3,2019-03-30,0.68,20426,Australia
100277,S4755,Product 4336,4,2019-06-26,37.32,53844,Germany
100278,S4643,Product 3248,17,2019-04-01,9.72,21420,Australia
100279,S3121,Product 3135,14,2019-01-23,3.03,21702,Germany
100280,S0017,Product 2599,2,2019-01-26,25.11,29032,United Kingdom
100281,S1244,Product 2186,12,2020-12-19,17.66,17647,France
100282,S2206,Product 4053,5,2019-04-25,34.74,46893,France
100283,S2525,Product 4550,2,2020-02-13,5.81,57507,Australia
100284,S1070,Product 3825,12,2020-12-15,7.07,15186,Netherlands
100285,S3445,Product 3521,9,2020-07-09,20.5,52283,Germany
100286,S2566,Product 1250,9,2020-05-27,26.26,44359,Netherlands
100287,S1061,Product 2075,1,2019-06-13,41.3,59230,Spain
100288,S2328,Product 2505,7,2019-12-17,29.49,47819,Germany
100289,S3421,Product 4791,18,2020-01-06,45.18,25528,United Kingdom
100290,S0302,Product 4806,10,2019-10-05,11.28,23133,United Kingdom
100291,S4277,Product 2015,15,2020-09-03,30.01,56887,Netherlands
100292,S0607,Product 4945,9,2020-01-24,32.93,54169,Germany
100293,S3171,Product 949,11,2020-05-07,36.43,13856,France
100294,S0700,Product 107,1,2019-04-27,49.44,16158,Germany
100295,S1140,Product 2492,11,2020-01-03,23.67,23916,Netherlands
100296,S0191,Product 4693,1,2020-04-15,18.78,44484,Netherlands
100297,S2301,Product 155,5,2019-11-13,42.68,56561,Australia
100298,S0981,Product 3241,18,2019-12-08,9.25,20184,Australia
100299,S2976,Product 796,1,2019-11-09,2.33,33602,United Kingdom
100300,S1185,Product 4368,10,2019-05-29,22.46,53728,United Kingdom
100301,S3328,Product 1571,13,2019-11-19,12.74,25425,Spain
100302,S3395,Product 1635,8,2019-02-22,20.13,45621,Netherlands
100303,S0128,Product 1939,13,2020-11-30,49.31,45708,Spain
100304,S2066,Product 1533,2,2020-07-26,17.75,35885,Spain
100305,S1817,Product 3029,12,2019-11-27,35.54,23034,United Kingdom
100306,S0570,Product 4218,13,2020-07-07,12.89,47512,France
100307,S1896,Product 1441,8,2020-10-01,15.52,13067,United Kingdom
100308,S2734,Product 1399,15,2020-11-18,12.54,59115,Germany
100309,S3864,Product 3647,7,2020-08-19,28.82,37671,France
100310,S4722,Product 3398,7,2019-07-18,11.69,47077,Australia
100311,S4015,Product 4246,17,2019-07-22,36.06,48973,Netherlands
100312,S2902,Product 4803,19,2019-07-12,34.17,25997,France
100313,S1687,Product 3043,3,2020-12-18,21.35,58461,Netherlands
100314,S3010,Product 1616,7,2019-10-06,1.77,37699,Netherlands
100315,S0155,Product 1514,12,2019-11-21,1.62,30778,Spain
100316,S2538,Product 2599,14,2020-07-05,26.87,55663,Germany
100317,S1410,Product 845,2,2019-11-08,42.04,31129,United Kingdom
100318,S4058,Product 3420,7,2019-03-10,30.14,55377,Spain
100319,S0785,Product 3531,16,2020-07-31,22.06,49238,Spain
100320,S3176,Product 2328,9,2020-05-24,44.16,40656,Germany
100321,S4342,Product 3041,1,2020-11-08,10.25,55668,United Kingdom
100322,S2807,Product 1977,12,2019-03-11,18.29,22302,Spain
100323,S0538,Product 1836,2,2019-12-03,28.48,49242,France
100324,S1842,Product 4900,18,2019-05-13,14.94,57699,United Kingdom
100325,S2456,Product 355,14,2019-11-12,49.89,11329,Germany
100326,S0525,Product 1606,12,2020-05-26,22.89,17208,France
100327,S2951,Product 4474,18,2019-03-17,3.06,46923,France
100328,S4132,Product 3196,5,2019-12-19,9.22,11701,Spain
100329,S4781,Product 2128,7,2019-02-09,26.86,39139,Germany
100330,S4116,Product 988,4,2019-10-07,27.73,24713,Germany
100331,S2369,Product 4329,13,2020-06-13,49.22,24729,Spain
100332,S3848,Product 154,16,2020-09-25,30.2,31091,Australia
100333,S4496,Product 907,16,2019-03-16,33.5,34497,United Kingdom
100334,S2702,Product 3764,19,2020-12-29,11.08,54990,Netherlands
100335,S0972,Product 1621,4,2019-12-05,5.79,22602,Spain
100336,S1167,Product 3629,1,2020-03-27,30.3,41883,France
100337,S4930,Product 3575,13,2020-04-10,43.31,33097,Netherlands
100338,S2775,Product 4419,9,2019-09-28,29.57,22504,United Kingdom
100339,S1983,Product 332,10,2020-09-15,22.42,55064,Australia
100340,S0854,Product 4339,6,2019-07-13,29.12,39616,United Kingdom
100341,S4147,Product 430,7,2019-12-27,23.7,28512,Australia
100342,S3737,Product 2424,16,2019-06-13,7.52,16615,United Kingdom
100343,S3770,Product 81,17,2019-02-28,37.19,57666,Netherlands
100344,S0575,Product 1574,1,2020-08-05,26.89,26812,Spain
100345,S3262,Product 420,9,2020-02-13,20.27,51329,Australia
100346,S1149,Product 467,14,2020-03-14,28.2,59512,Germany
100347,S1716,Product 3394,15,2019-01-21,12.44,44321,Spain
100348,S4778,Product 1566,4,2020-03-08,21.68,34294,Spain
100349,S4934,Product 1519,8,2019-01-12,31.31,16321,Netherlands
100350,S3855,Product 4031,15,2020-06-03,11.7,47517,France
100351,S2492,Product 2036,4,2020-08-19,37.58,50905,Netherlands
100352,S2661,Product 804,19,2020-02-29,26.29,45205,France
100353,S3125,Product 1078,3,2019-01-24,43.15,10770,Netherlands
100354,S3052,Product 1633,8,2019-09-15,42.44,15744,France
100355,S0005,Product 1985,2,2020-02-17,24.98,30053,Germany
100356,S4870,Product 4,8,2020-05-24,10.18,37467,Australia
100357,S0877,Product 603,8,2019-01-13,36.96,34440,Germany
100358,S0992,Product 2368,17,2020-08-23,21.22,50832,United Kingdom
100359,S4143,Product 3676,16,2020-06-02,29.93,47988,United Kingdom
100360,S4365,Product 501,16,2020-04-28,5.81,10140,France
100361,S4466,Product 185,16,2020-07-24,31.76,18735,Spain
100362,S0636,Product 3510,7,2019-12-22,18.99,23208,United Kingdom
100363,S1694,Product 3252,15,2020-05-25,17.04,16642,Netherlands
100364,S1683,Product 3148,17,2019-01-17,49.01,19637,Germany
100365,S4753,Product 2941,3,2020-10-14,21.91,54420,United Kingdom
100366,S0120,Product 1296,1,2019-01-09,34.06,10913,United Kingdom
100367,S0831,Product 55,8,2020-11-12,31.57,34713,United Kingdom
100368,S3676,Product 1725,7,2019-01-21,5.66,41924,Netherlands
100369,S1370,Product 2911,18,2019-06-04,37.52,36322,Netherlands
100370,S0741,Product 1871,5,2019-02-24,16.5,50353,United Kingdom
100371,S0117,Product 4173,15,2019-02-04,40.05,24239,Spain
100372,S2839,Product 2344,7,2020-02-28,30.58,31130,Australia
100373,S1151,Product 3291,10,2019-03-30,16.2,14693,Australia
100374,S1932,Product 3349,16,2020-05-25,18.14,12205,Australia
100375,S1013,Product 1602,2,2020-12-12,36.71,40208,Spain
100376,S1665,Product 2794,18,2020-02-17,27.73,48917,Netherlands
100377,S1082,Product 3338,15,2019-05-13,33.58,38343,Netherlands
100378,S4730,Product 2091,19,2020-11-16,8.34,25554,Germany
100379,S0513,Product 1252,14,2020-11-15,39.46,53065,Spain
100380,S2850,Product 171,2,2020-07-04,16.36,51958,Australia
100381,S0560,Product 2810,18,2020-02-29,31.18,56286,United Kingdom
100382,S3673,Product 2355,9,2020-01-02,6.18,48494,France
100383,S4584,Product 1774,1,2020-01-02,16.41,31759,Germany
100384,S4993,Product 3755,16,2019-10-01,32.62,17677,Australia
100385,S3344,Product 3992,12,2019-07-06,14.07,19083,Germany
100386,S4071,Product 2082,12,2019-03-28,44.08,40866,Australia
100387,S4800,Product 827,19,2020-05-02,33.23,43724,United Kingdom
100388,S1471,Product 1666,10,2019-06-07,43.58,23117,United Kingdom
100389,S0581,Product 130,5,2020-04-12,20.07,18006,Netherlands
100390,S2295,Product 1418,3,2019-12-27,2.18,12978,Spain
100391,S3148,Product 3788,9,2019-06-18,29.02,17338,Netherlands
100392,S4250,Product 1408,15,2020-12-25,17.29,23828,Spain
100393,S1680,Product 594,14,2020-03-18,22.69,23439,Spain
100394,S3507,Product 1038,11,2019-02-14,34.21,31282,France
100395,S2745,Product 2129,13,2019-11-19,35.18,36979,Germany
100396,S3357,Product 3279,7,2020-06-12,1.86,11659,France
100397,S4046,Product 4300,2,2020-08-25,38.58,51686,United Kingdom
100398,S1244,Product 23,3,2019-07-21,24.93,26291,France
100399,S3119,Product 1634,8,2019-10-03,28.06,15891,France
100400,S2142,Product 4002,1,2019-05-31,15.25,48145,Germany
100401,S3060,Product 4200,4,2019-07-11,21.33,55156,France
100402,S4549,Product 1406,13,2020-01-27,35.66,16701,Germany
100403,S2960,Product 1479,14,2020-09-06,38.95,43795,Germany
100404,S2266,Product 1195,9,2020-03-24,19.66,49674,Germany
100405,S2480,Product 576,3,2020-01-09,34.71,15563,Germany
100406,S4647,Product 1607,14,2019-03-01,13.27,15679,France
100407,S1636,Product 4370,4,2020-06-02,41.69,15495,Netherlands
100408,S1758,Product 452,17,2020-10-05,30.69,11539,Netherlands
100409,S4453,Product 125,15,2019-06-05,38.87,13634,Australia
100410,S2071,Product 3455,12,2020-06-14,24.12,54048,United Kingdom
100411,S2850,Product 2365,14,2020-10-07,11.84,29128,Germany
100412,S3252,Product 1867,19,2020-06-21,21.75,56036,Netherlands
100413,S3731,Product 1684,10,2020-01-09,19.38,57051,United Kingdom
100414,S2490,Product 907,5,2020-02-07,16.97,53654,France
100415,S1632,Product 3535,17,2020-08-27,11.0,58047,Australia
100416,S2817,Product 430,17,2019-08-29,38.08,45675,United Kingdom
100417,S1016,Product 2752,3,2020-10-22,4.77,23132,Netherlands
